# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
31391at8509	Complete	group1	148266589	148299956	-	18460	2623
13283at8509	Complete	group12	85976667	86162895	+	22900	5598
22203at8509	Complete	group2	154575858	154698923	-	26062	5493
29468at8509	Complete	group4	67078571	67227910	+	25133	5149
32412at8509	Complete	group4	105148525	105304762	-	24327	5029
58813at8509	Complete	group1	122096507	122237321	-	15817	4706
29242at8509	Complete	group9	19778912	20001442	+	25401	4915
30273at8509	Complete	group9	28555690	28715382	+	23910	4851
30740at8509	Complete	group4	66098478	66140449	-	24273	4848
20966at8509	Complete	group6	97389733	97509942	+	24191	4833
37330at8509	Complete	group12	78271334	78384848	+	23386	4806
56752at8509	Complete	group4	37478632	37523277	-	15641	4585
4768at8509	Complete	group2	49344564	49506996	-	23807	4380
42969at8509	Complete	group7	57363169	57464635	-	10797	4664
8129at8509	Complete	group7	97284336	97346246	+	23631	4638
895at8509	Complete	group3	28266139	28619881	-	24422	4618
21592at8509	Complete	group6	126442875	126585491	+	23902	4424
15558at8509	Complete	group11	53565862	53683060	+	22819	4584
23389at8509	Complete	group2	112856892	112912260	+	15440	4460
15079at8509	Complete	group6	22510341	22536135	-	23489	4576
50084at8509	Complete	group4	34716678	34740277	+	21349	4466
49281at8509	Complete	group12	43090612	43316432	+	19062	4469
18848at8509	Complete	group8	8749449	8907376	+	21855	4460
42563at8509	Complete	group3	37309726	37394238	+	21348	4355
40822at8509	Complete	group8	62359064	62442563	-	17174	4365
14943at8509	Complete	group4	97858983	97919292	-	19881	4272
23723at8509	Complete	group8	78282471	78485703	-	20201	4214
54690at8509	Complete	group4	160174319	160186805	+	15833	3676
22157at8509	Complete	group5	51958504	52036938	+	17099	4121
24414at8509	Complete	group4	81161540	81235333	+	19783	4042
54545at8509	Complete	group12	21328585	21456354	-	12416	3688
55775at8509	Complete	group4	161865004	161900130	+	17506	3597
41965at8509	Complete	group2	19165522	19272600	+	10939	1859
20375at8509	Complete	group4	82213927	82271722	-	17728	3642
17382at8509	Complete	group9	71587349	71744507	-	18207	3546
47729at8509	Complete	group2	5579242	5742571	-	14010	3476
50720at8509	Complete	group2	47769183	48096123	+	10737	3402
44887at8509	Complete	group4	68538179	68575352	+	15672	3162
20617at8509	Complete	group7	14819240	14930945	-	11889	3364
6215at8509	Complete	group1	152302365	152616631	-	17223	2885
19234at8509	Complete	group4	37421031	37448711	+	15758	3226
57343at8509	Complete	group1	217511764	217559953	+	8043	3201
27780at8509	Complete	group3	104490313	104614835	+	14202	3173
38591at8509	Complete	group8	92533974	92648433	+	14736	3039
51308at8509	Complete	group5	146500781	146525372	-	10564	2352
55453at8509	Complete	group2	85456158	85562214	-	11702	3149
32830at8509	Complete	group11	37109092	37176290	+	15578	3057
56839at8509	Complete	group6	62829241	62867961	+	6371	2493
34755at8509	Complete	group2	147081968	147216078	-	13984	3114
29609at8509	Complete	group11	79732830	79867296	+	14745	3005
25006at8509	Complete	group2	168751695	168828790	-	15047	3066
19698at8509	Complete	group5	62105735	62227640	-	15085	3066
26865at8509	Complete	group4	59895428	59970346	+	14049	3048
19389at8509	Complete	group4	60459609	60565017	-	15047	1702
22570at8509	Complete	group5	106275316	106575077	-	15680	3028
28398at8509	Complete	group6	105108157	105145293	+	14449	2937
24752at8509	Complete	group6	26059132	26213157	+	14835	2996
48778at8509	Complete	group5	46645706	46789945	-	15381	3002
18237at8509	Complete	group3	122674011	122757519	-	15002	2990
55479at8509	Complete	group3	3310424	3416857	+	14342	2877
41669at8509	Complete	group10	37096858	37218709	-	15240	2755
28947at8509	Complete	group4	156595639	156633651	+	13078	2872
50719at8509	Complete	group11	92997611	93083955	-	12159	3052
55441at8509	Complete	group1	199572711	199697172	+	11191	2852
45165at8509	Complete	group10	97869251	97918575	+	9403	2817
48062at8509	Complete	group3	126481044	126546851	-	13993	2825
4794at8509	Complete	group11	55628788	55994329	-	14734	2809
43858at8509	Complete	group1	178437129	178511788	+	11290	2775
44256at8509	Complete	group5	28799367	28879420	+	14384	2791
36180at8509	Complete	group3	164028800	164127348	-	13515	2761
47713at8509	Complete	group5	64060748	64206868	-	13338	2674
42034at8509	Complete	group10	60813809	60907793	+	12305	2757
94at8509	Complete	group4	58055162	58199859	+	15179	2727
57739at8509	Complete	group5	128527476	128604172	+	13239	2710
