# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
31391at8509	Complete	group2	148266589	148299956	-	18460	2623
13283at8509	Complete	group11	85181082	85367310	-	22900	5598
22203at8509	Complete	group4	154575858	154698923	-	26062	5493
29468at8509	Complete	group3	138248575	138397914	-	25133	5149
32412at8509	Complete	group3	89433094	89589331	+	24327	5029
58813at8509	Complete	group2	122096507	122237321	-	15817	4706
29242at8509	Complete	group9	19778912	20001442	+	25401	4915
30273at8509	Complete	group9	28555690	28715382	+	23910	4851
30740at8509	Complete	group3	157262723	157304694	+	24273	4848
20966at8509	Complete	group6	119533974	119654183	-	24191	4833
37330at8509	Complete	group11	78271334	78384848	+	23386	4806
56752at8509	Complete	group3	189059478	189104123	-	15641	4585
4768at8509	Complete	group4	49344564	49506996	-	23807	4380
42969at8509	Complete	group7	57363169	57464635	-	10797	4664
8129at8509	Complete	group7	97284336	97346246	+	23631	4638
895at8509	Complete	group5	158799547	159153289	+	24422	4618
21592at8509	Complete	group6	83466747	83609363	+	23902	4424
15558at8509	Complete	group10	53565862	53683060	+	22819	4584
23389at8509	Complete	group4	112856892	112912260	+	15440	4460
15079at8509	Complete	group6	53673394	53699188	+	23489	4576
50084at8509	Complete	group3	191857636	191881235	+	21349	4466
49281at8509	Complete	group11	43090612	43316432	+	19062	4469
18848at8509	Complete	group8	8749449	8907376	+	21855	4460
42563at8509	Complete	group5	150025190	150109702	-	21348	4355
40822at8509	Complete	group8	62359064	62442563	-	17174	4365
14943at8509	Complete	group3	96818564	96878873	+	19881	4272
23723at8509	Complete	group8	78282471	78485703	-	20201	4214
54690at8509	Complete	group3	34551051	34563537	-	15833	3676
22157at8509	Complete	group1	53797392	53875826	+	17099	4121
24414at8509	Complete	group3	124241152	124314945	-	19783	4042
54545at8509	Complete	group11	21328585	21456354	-	12416	3688
55775at8509	Complete	group3	32837726	32872852	-	17506	3597
41965at8509	Complete	group4	19165522	19272600	+	10939	1859
20375at8509	Complete	group3	123204763	123262558	+	17728	3642
17382at8509	Complete	group9	71587349	71744507	-	18207	3546
47729at8509	Complete	group4	5579242	5742571	-	14010	3476
50720at8509	Complete	group4	47769183	48096123	+	10737	3402
44887at8509	Complete	group3	136901133	136938306	-	15672	3162
20617at8509	Complete	group7	14819240	14930945	-	11889	3364
6215at8509	Complete	group2	152302365	152616631	-	17223	2885
19234at8509	Complete	group3	189001877	189029557	+	15758	3226
57343at8509	Complete	group2	217511764	217559953	+	8043	3201
27780at8509	Complete	group5	82804593	82929115	-	14202	3173
38591at8509	Complete	group8	92533974	92648433	+	14736	3039
51308at8509	Complete	group1	148339669	148364260	-	10564	2352
55453at8509	Complete	group4	85456158	85562214	-	11702	3149
32830at8509	Complete	group10	37109092	37176290	+	15578	3057
56839at8509	Complete	group6	13341568	13380288	-	6371	2493
34755at8509	Complete	group4	147081968	147216078	-	13984	3114
29609at8509	Complete	group10	79732830	79867296	+	14745	3005
25006at8509	Complete	group4	168751695	168828790	-	15047	3066
19698at8509	Complete	group1	63944623	64066528	-	15085	3066
26865at8509	Complete	group3	163432826	163507744	-	14049	3048
19389at8509	Complete	group3	162838155	162943563	+	15047	1702
22570at8509	Complete	group1	108114204	108413965	-	15680	3028
28398at8509	Complete	group6	111898623	111935759	-	14449	2937
24752at8509	Complete	group6	49996372	50150397	-	14835	2996
48778at8509	Complete	group1	48484594	48628833	-	15381	3002
18237at8509	Complete	group5	64661909	64745417	+	15002	2990
55479at8509	Complete	group5	184002571	184109004	-	14342	2877
41669at8509	Complete	group1	200026039	200147890	-	15240	2755
28947at8509	Complete	group3	38104205	38142217	-	13078	2872
50719at8509	Complete	group10	92997611	93083955	-	12159	3052
55441at8509	Complete	group2	199572711	199697172	+	11191	2852
45165at8509	Complete	group1	260472046	260521370	+	9403	2817
48062at8509	Complete	group5	60872577	60938384	+	13993	2825
4794at8509	Complete	group10	55628788	55994329	-	14734	2809
43858at8509	Complete	group2	178437129	178511788	+	11290	2775
44256at8509	Complete	group1	30638255	30718308	+	14384	2791
36180at8509	Complete	group5	23292080	23390628	+	13515	2761
47713at8509	Complete	group1	65899636	66045756	-	13338	2674
42034at8509	Complete	group1	223742990	223836974	+	12305	2757
94at8509	Complete	group3	165203313	165348010	-	15179	2727
57739at8509	Complete	group1	130366364	130443060	+	13239	2710
42149at8509	Complete	group6	122275949	122293339	-	12423	2570
54550at8509	Complete	group3	34084904	34117536	+	11393	2697
25933at8509	Complete	group4	152891687	152922400	+	10666	2701
25052at8509	Complete	group7	90134452	90278778	+	13139	2704
12867at8509	Complete	group13	26866940	27200193	+	14133	2703
38200at8509	Complete	group8	105747799	106000967	-	13928	2687
58291at8509	Complete	group1	84808295	84887529	-	9594	2623
61046at8509	Complete	group3	178554026	178569860	-	11019	2803
13011at8509	Complete	group8	36735748	37257566	+	13510	2597
57776at8509	Complete	group1	222863782	222906489	+	7745	2571
15449at8509	Complete	group1	202433195	202549483	+	13146	2663
8770at8509	Complete	group5	148630475	148711023	-	13610	2645
18368at8509	Complete	group2	37019369	37076981	+	11169	2646
51675at8509	Complete	group3	82169707	82220093	+	13131	2609
25146at8509	Complete	group8	70683205	70745864	+	9912	2633
42199at8509	Complete	group5	36703519	36780665	+	9013	2293
8689at8509	Complete	group8	91883865	91973995	+	13501	2622
28619at8509	Complete	group1	186334954	186414930	+	12772	2582
38809at8509	Complete	group7	132886785	132936390	-	7870	2236
52943at8509	Complete	group9	48025722	48060493	-	4801	2626
24472at8509	Complete	group2	31964790	31985431	+	11627	2423
52395at8509	Complete	group3	139792105	139821263	-	8623	2601
34045at8509	Complete	group7	52630486	52679860	+	9964	2510
